,Make,Model Family,Year,Price_USD_Thousands,Mileage,Listing Year,_make_model
197,FERRARI,360,2004,91.5,11000.0,2022,FERRARI_360
198,FERRARI,360,2004,122.5,28000.0,2024,FERRARI_360
199,FERRARI,360,2004,100.0,68000.0,2024,FERRARI_360
200,FERRARI,360,2002,72.75,51000.0,2022,FERRARI_360
201,FERRARI,360,2001,169.0,14549.0,2022,FERRARI_360
202,FERRARI,360,2000,127.0,20000.0,2022,FERRARI_360
203,FERRARI,360,2000,58.860759493670884,22965.0,2022,FERRARI_360
204,FERRARI,360,2003,72.78481012658227,24550.0,2022,FERRARI_360
205,FERRARI,360,2001,133.0,23000.0,2022,FERRARI_360
206,FERRARI,360,2004,143.0,10642.0,2022,FERRARI_360
207,FERRARI,360,2003,116.5,28541.0,2022,FERRARI_360
208,FERRARI,360,2002,101.2,25000.0,2022,FERRARI_360
209,FERRARI,360,2000,58.860759493670884,22965.0,2022,FERRARI_360
210,FERRARI,360,2001,89.1,34322.0,2022,FERRARI_360
211,FERRARI,360,2001,113.61,23925.0,2022,FERRARI_360
212,FERRARI,360,2000,78.5,24000.0,2022,FERRARI_360
213,FERRARI,360,2003,146.0,19000.0,2022,FERRARI_360
214,FERRARI,360,2004,145.69620253164558,46603.0,2022,FERRARI_360
215,FERRARI,360,2000,104.5,29800.0,2022,FERRARI_360
216,FERRARI,360,2001,140.36,33000.0,2022,FERRARI_360
217,FERRARI,360,1999,120.0,30000.0,2022,FERRARI_360
218,FERRARI,360,2000,115.0,25000.0,2022,FERRARI_360
219,FERRARI,360,2002,62.65822784810126,5028.0,2022,FERRARI_360
220,FERRARI,360,2004,285.5,8685.0,2022,FERRARI_360
221,FERRARI,360,2004,183.0,16000.0,2022,FERRARI_360
222,FERRARI,360,2003,126.5,13000.0,2022,FERRARI_360
223,FERRARI,360,2001,100.0,29000.0,2022,FERRARI_360
224,FERRARI,360,2004,110.0,15000.0,2022,FERRARI_360
225,FERRARI,360,2001,83.5,20000.0,2022,FERRARI_360
226,FERRARI,360,2004,285.0,22000.0,2022,FERRARI_360
227,FERRARI,360,2001,98.92473118279568,16167.0,2022,FERRARI_360
228,FERRARI,360,2004,87.0,19500.0,2022,FERRARI_360
229,FERRARI,360,2004,93.0,25000.0,2022,FERRARI_360
230,FERRARI,360,2005,137.5,17884.0,2022,FERRARI_360
232,FERRARI,360,2003,64.56962025316456,42988.0,2022,FERRARI_360
233,FERRARI,360,2000,132.0,39000.0,2022,FERRARI_360
234,FERRARI,360,1999,133.0,44000.0,2022,FERRARI_360
235,FERRARI,360,1999,133.0,44000.0,2022,FERRARI_360
237,FERRARI,360,2000,142.0,11000.0,2022,FERRARI_360
238,FERRARI,360,2002,165.0,14850.0,2022,FERRARI_360
239,FERRARI,360,2001,99.5,40000.0,2021,FERRARI_360
240,FERRARI,360,2001,76.0,27000.0,2021,FERRARI_360
241,FERRARI,360,1999,93.5,2046.0,2021,FERRARI_360
242,FERRARI,360,2004,300.0,10755.0,2021,FERRARI_360
243,FERRARI,360,2000,75.0,30000.0,2021,FERRARI_360
244,FERRARI,360,2004,79.0,32000.0,2021,FERRARI_360
245,FERRARI,360,2004,248.38709677419354,9155.0,2021,FERRARI_360
247,FERRARI,360,2004,140.0,11000.0,2021,FERRARI_360
248,FERRARI,360,2001,63.220253164556965,36100.0,2024,FERRARI_360
249,FERRARI,360,2002,56.45696202531646,42000.0,2022,FERRARI_360
250,FERRARI,360,2002,64.56962025316456,36188.0,2023,FERRARI_360
251,FERRARI,360,2005,177.21518987341773,9559.0,2021,FERRARI_360
252,FERRARI,360,2001,71.0,17300.0,2021,FERRARI_360
253,FERRARI,360,2003,64.0,24029.0,2021,FERRARI_360
255,FERRARI,360,2004,75.0,43000.0,2021,FERRARI_360
256,FERRARI,360,2004,140.0,13000.0,2021,FERRARI_360
257,FERRARI,360,2002,103.43,27000.0,2021,FERRARI_360
258,FERRARI,360,2005,158.86075949367088,16466.0,2021,FERRARI_360
259,FERRARI,360,2001,65.0,39788.0,2021,FERRARI_360
260,FERRARI,360,2001,149.9,16239.0,2023,FERRARI_360
261,FERRARI,360,2003,48.10126582278481,22529.0,2021,FERRARI_360
262,FERRARI,360,2002,129.8,21000.0,2023,FERRARI_360
263,FERRARI,360,2001,70.0,22000.0,2021,FERRARI_360
264,FERRARI,360,2000,74.51139240506329,51921.0,2021,FERRARI_360
265,FERRARI,360,2004,153.0,8000.0,2021,FERRARI_360
266,FERRARI,360,2003,129.5,16000.0,2021,FERRARI_360
267,FERRARI,360,2002,100.0,45000.0,2021,FERRARI_360
268,FERRARI,360,2003,223.41772151898732,15518.0,2021,FERRARI_360
269,FERRARI,360,2002,150.0,25000.0,2021,FERRARI_360
270,FERRARI,360,2004,80.0,14000.0,2021,FERRARI_360
271,FERRARI,360,1999,77.5,11000.0,2021,FERRARI_360
272,FERRARI,360,2000,67.09113924050632,38321.0,2023,FERRARI_360
273,FERRARI,360,2001,73.0,27737.0,2021,FERRARI_360
274,FERRARI,360,2004,155.0632911392405,40800.0,2021,FERRARI_360
275,FERRARI,360,2005,80.0,26000.0,2021,FERRARI_360
276,FERRARI,360,2004,120.0,20000.0,2021,FERRARI_360
277,FERRARI,360,2003,84.81012658227847,18570.0,2022,FERRARI_360
278,FERRARI,360,2003,87.0,31000.0,2021,FERRARI_360
279,FERRARI,360,2002,78.48101265822784,18380.0,2021,FERRARI_360
280,FERRARI,360,2003,97.0,38000.0,2021,FERRARI_360
281,FERRARI,360,2004,67.5,36000.0,2021,FERRARI_360
283,FERRARI,360,2003,130.36,6000.0,2021,FERRARI_360
284,FERRARI,360,2002,135.36,33000.0,2021,FERRARI_360
285,FERRARI,360,2002,91.3,34500.0,2021,FERRARI_360
286,FERRARI,360,2004,252.5,10131.0,2021,FERRARI_360
287,FERRARI,360,2003,63.0,36000.0,2021,FERRARI_360
288,FERRARI,360,2000,100.0,1900.0,2021,FERRARI_360
289,FERRARI,360,2004,67.5,36000.0,2021,FERRARI_360
290,FERRARI,360,2004,145.69620253164558,46603.0,2022,FERRARI_360
291,FERRARI,360,2004,82.22784810126582,21814.0,2021,FERRARI_360
292,FERRARI,360,2002,109.36,27000.0,2021,FERRARI_360
293,FERRARI,360,2004,91.5,17000.0,2021,FERRARI_360
294,FERRARI,360,2001,138.36,19000.0,2021,FERRARI_360
295,FERRARI,360,2001,62.5,48000.0,2021,FERRARI_360
296,FERRARI,360,2004,117.0,600.0,2021,FERRARI_360
297,FERRARI,360,2001,68.35443037974683,33714.0,2021,FERRARI_360
298,FERRARI,360,2002,117.0,10000.0,2021,FERRARI_360
299,FERRARI,360,2002,129.8,19000.0,2022,FERRARI_360
300,FERRARI,360,2004,127.21518987341773,5790.0,2021,FERRARI_360
301,FERRARI,360,2004,115.0,16000.0,2021,FERRARI_360
303,FERRARI,360,2004,122.0,23000.0,2021,FERRARI_360
304,FERRARI,360,2003,74.0,23000.0,2021,FERRARI_360
305,FERRARI,360,2004,126.5,11570.0,2021,FERRARI_360
306,FERRARI,360,2000,58.0,42000.0,2021,FERRARI_360
307,FERRARI,360,2003,107.0,31000.0,2021,FERRARI_360
308,FERRARI,360,2001,118.0,6000.0,2021,FERRARI_360
309,FERRARI,360,2003,170.25316455696202,16540.0,2021,FERRARI_360
310,FERRARI,360,2004,76.5,21000.0,2021,FERRARI_360
311,FERRARI,360,2002,81.0,12000.0,2020,FERRARI_360
312,FERRARI,360,2000,99.0,3439.0,2020,FERRARI_360
313,FERRARI,360,2004,57.278481012658226,38952.0,2020,FERRARI_360
